Image_Metadata_Plate,Image_Metadata_Well,Image_FileName_OrigHoechst,Image_Count_Nuclei,Image_Metadata_GeneID,Image_Metadata_GeneSymbol,Image_Metadata_IsLandmark,Image_Metadata_AlleleDesc,Image_Metadata_ExpressionVector,Image_Metadata_FlaggedForToxicity,Image_Metadata_IE_Blast_noBlast,Image_Metadata_IntendedOrfMismatch,Image_Metadata_OpenOrClosed,Image_Metadata_RNAiVirusPlateName,Image_Metadata_Site,Image_Metadata_TimePoint_Hours,Image_Metadata_Type,Image_Metadata_Virus_Vol_ul,Image_Metadata_ASSAY_WELL_ROLE,Image_Metadata_QCFlag_isBlurry,Image_Metadata_QCFlag_isSaturated
41744,j13,taoe005-u2os-72h-cp-a-au00044859_j13_s7_w10f00cb6e-0da7-4285-8bdb-2bc8676f9122.tif,84,,EMPTY,,,,,0.1,,,ORA11.12.13.18A,7,72H,"ORF OE",1,Untreated,0,0
41744,j21,taoe005-u2os-72h-cp-a-au00044859_j21_s9_w17163e041-5515-41b1-a188-6b7c777c43df.tif,131,54583,EGLN1,0,WT.2,pLX304,,1.12,,closed,ORA11.12.13.18A,9,72H,"ORF OE",1,Treated,0,0
41744,j20,taoe005-u2os-72h-cp-a-au00044859_j20_s8_w1aebc6b5f-abe8-46fc-ba71-ac7dd82b2411.tif,28,4342,MOS,0,WT.2,pLX304,,1,,open,ORA11.12.13.18A,8,72H,"ORF OE",1,Treated,0,0
41744,k09,taoe005-u2os-72h-cp-a-au00044859_k09_s1_w18c4723a1-1f00-49a0-9aae-abd66e5f24bd.tif,104,658,BMPR1B,0,WT.2,pLX304,,0.97,,,ORA11.12.13.18A,1,72H,"ORF OE",1,Treated,0,0
41744,l13,taoe005-u2os-72h-cp-a-au00044859_l13_s3_w1a951e46a-f9b2-4ed8-9948-c246b8c34f1d.tif,95,673,BRAF,0,WT.2,pLX304,,1.16,,open,ORA11.12.13.18A,3,72H,"ORF OE",1,Treated,0,0
41744,l04,taoe005-u2os-72h-cp-a-au00044859_l04_s4_w1dbb163dd-0f06-437d-a903-5a348b79f0db.tif,57,,EMPTY,,,,,0.06,,,ORA11.12.13.18A,4,72H,"ORF OE",1,Untreated,0,0
41744,n05,taoe005-u2os-72h-cp-a-au00044859_n05_s2_w12afb9fd5-5b88-47de-baa5-7bac7629bcdb.tif,64,-43,Luciferase,0,CTRL,pLX304,,0.08,,open,ORA11.12.13.18A,2,72H,"ORF OE",1,CTRL,0,0
41744,k11,taoe005-u2os-72h-cp-a-au00044859_k11_s8_w18cd7e238-7dc0-4846-b1ce-9e4e98263a0f.tif,77,595,CCND1,1,WT.2,pLX304,,0.8,,open,ORA11.12.13.18A,8,72H,"ORF OE",1,Treated,0,0
41744,n05,taoe005-u2os-72h-cp-a-au00044859_n05_s7_w10f42d209-4697-4d87-8847-d551890ade1f.tif,79,-43,Luciferase,0,CTRL,pLX304,,0.08,,open,ORA11.12.13.18A,7,72H,"ORF OE",1,CTRL,0,0
41744,m07,taoe005-u2os-72h-cp-a-au00044859_m07_s6_w1d120f67a-5720-4f6d-bfb0-c505f1541c90.tif,95,5045,FURIN,0,WT.2,pLX304,,0.87,,open,ORA11.12.13.18A,6,72H,"ORF OE",1,Treated,0,0
41744,k19,taoe005-u2os-72h-cp-a-au00044859_k19_s1_w1c196b6ab-7407-4f6b-bb7d-c462fbfb3946.tif,74,1857,DVL3,0,WT,pLX304,,1.04,,open,ORA11.12.13.18A,1,72H,"ORF OE",1,Treated,0,0
41744,k20,taoe005-u2os-72h-cp-a-au00044859_k20_s7_w1febc17d2-7801-4269-bee3-a294f88152ca.tif,88,29110,TBK1,0,WT.2,pLX304,,1.14,,open,ORA11.12.13.18A,7,72H,"ORF OE",1,Treated,0,0
